image,noise_base,noise_mod,bright_base,bright_mod,contrast_base,contrast_mod,psnr_impact,ssim_impact
1482.png,3.613,3.489,0.215,0.204,0.154,0.184,26.33,0.8933
2015_02057.jpg,1.501,1.25,0.207,0.191,0.12,0.146,27.42,0.9229
2015_02154.jpg,1.69,1.483,0.213,0.215,0.156,0.18,22.74,0.9298
2015_02243.jpg,0.787,0.601,0.217,0.212,0.132,0.149,26.44,0.9526
2015_05885.jpg,6.796,6.71,0.213,0.192,0.092,0.107,28.31,0.9433
2015_05886.jpg,8.09,11.259,0.264,0.255,0.116,0.162,24.32,0.901
234.png,2.321,2.087,0.21,0.193,0.121,0.145,27.46,0.9291
252.png,2.522,1.843,0.188,0.166,0.101,0.115,28.84,0.9139
2850.png,2.316,1.319,0.139,0.12,0.106,0.12,28.78,0.8984
372.png,2.038,1.963,0.245,0.248,0.195,0.231,24.62,0.9139
644.png,2.183,1.704,0.191,0.195,0.198,0.232,25.24,0.903
645.png,1.977,1.411,0.21,0.213,0.216,0.252,25.29,0.9038
NPE_89.png,0.98,1.033,0.298,0.288,0.3,0.32,27.26,0.9407
0016.png,1.19,1.778,0.366,0.389,0.148,0.199,23.04,0.9258
0018.png,1.001,0.841,0.354,0.366,0.115,0.153,24.59,0.9591
0224.png,0.53,0.41,0.358,0.359,0.051,0.07,29.84,0.9831
0245.png,1.19,1.877,0.396,0.426,0.125,0.173,20.81,0.9444
0528.png,0.348,0.13,0.269,0.256,0.101,0.104,30.41,0.9864
0534.png,0.607,0.428,0.372,0.392,0.12,0.153,24.19,0.9796
0908.png,1.152,1.729,0.326,0.319,0.073,0.094,30.36,0.9629
0934.png,0.978,1.172,0.363,0.376,0.102,0.139,22.83,0.9723
1191.png,1.014,0.944,0.271,0.268,0.137,0.156,25.12,0.9675
1217.png,0.928,0.994,0.243,0.223,0.08,0.097,28.66,0.9637
00001.png,1.826,0.762,0.172,0.162,0.137,0.151,27.04,0.9275
00051.png,2.377,1.546,0.14,0.122,0.101,0.098,31.12,0.944
00079.png,2.003,0.749,0.174,0.149,0.07,0.066,30.95,0.9429
00091.png,1.721,0.556,0.212,0.19,0.088,0.086,31.02,0.9531
2062.jpg,1.134,1.219,0.335,0.348,0.161,0.219,22.32,0.9477
2064.jpg,1.372,1.193,0.175,0.164,0.144,0.18,25.73,0.9333
3008.jpg,2.776,4.398,0.283,0.283,0.14,0.173,24.3,0.8916
3018.jpg,1.109,0.841,0.218,0.207,0.135,0.151,28.61,0.9502
3020.jpg,0.783,0.465,0.228,0.226,0.19,0.238,24.42,0.948
NPE_71.png,0.788,0.587,0.26,0.254,0.133,0.173,24.55,0.9543
